cellLabelInImage,X,Y,cluster,patient_id
,718.7088013,6.112280846,24,5
,1747.781982,718.8875122,24,5
,1667.868042,869.6337891,24,5
,1529.67395,880.5286255,24,5
,1326.869019,1021.169006,24,5
,1236.136963,1064.147949,24,5
,1012.0,1221.31604,24,5
,1017.0,1242.853027,24,5
,709.0264893,227.1201935,17,5
,1958.876953,352.8048096,7,5
,690.2327881,582.6680908,7,5
,1703.60498,813.6881714,17,5
,1004.39502,861.2365723,7,5
,1521.592041,866.0789185,8,5
,806.1234741,1059.531006,7,5
,333.9700012,1680.310059,17,5
,319.9873962,1736.01001,7,5
,165.4396057,1977.31897,7,5
,439.0364075,56.66514969,7,5
,1941.930054,62.69958878,8,5
,1950.01001,82.47367859,7,5
,1886.727051,88.27272797,7,5
,445.8882141,106.1352997,7,5
,1805.832031,120.5658035,7,5
,227.3264008,141.1840057,10,5
,139.7377014,147.8524933,10,5
,1933.963989,156.4485016,8,5
,130.8854065,185.3854065,7,5
,153.8468933,186.822998,17,5
,1890.277954,198.7145996,8,5
,447.90979,217.3233032,10,5
,1825.162964,248.0639954,7,5
,330.4625854,247.9385986,10,5
,351.1531067,249.0574036,7,5
,1837.363037,264.1445007,23,5
,588.6937256,271.9729919,7,5
,1916.047974,288.7713928,10,5
,237.7106934,291.7869873,23,5
,317.9354858,296.3977966,7,5
,1829.095947,302.9451904,8,5
,1993.130981,303.7550964,8,5
,1787.016968,309.6282043,8,5
,403.1055908,327.6102905,10,5
,1775.375977,337.6734924,24,5
,1979.655029,345.2605896,8,5
,1786.185059,356.5828857,8,5
,2012.930054,361.4938049,8,5
,285.8519897,370.9867859,7,5
,1751.265015,375.1868896,10,5
,1843.072021,381.5643921,10,5
,1966.003052,383.9205933,8,5
,290.8156128,388.8363037,7,5
,1987.552979,393.4318848,8,5
,1780.489014,394.7846069,8,5
,538.4302979,397.880188,7,5
,1755.493042,400.7416992,10,5
,1957.241943,403.7737122,8,5
,1955.845947,419.7370911,8,5
,461.297699,423.3525085,7,5
,831.7235718,421.2296143,7,5
,1981.82605,427.1895142,7,5
,229.3699036,446.0744934,7,5
,538.8665771,445.2654114,7,5
,1760.70105,444.3728943,10,5
,2030.579956,448.3735962,23,5
,488.5255127,456.8635864,7,5
,1958.984985,460.3515015,8,5
,2017.682983,467.5624084,8,5
,1716.725952,471.0163879,23,5
,1815.303955,479.6040955,8,5
,204.7353058,480.2298889,10,5
,1525.437012,486.8212891,8,5
,683.0281982,495.7033997,7,5
,1864.526978,494.8987122,10,5
,1824.515991,500.7630005,23,5
,1686.915039,509.8063049,10,5
,238.4232025,511.1253967,7,5
,1848.136963,512.2171021,7,5
,215.1156006,522.5952759,7,5
,616.875,519.4185181,17,5
,233.222702,526.203125,7,5
,672.9462891,526.5413818,10,5
,1684.838013,528.9749756,10,5
,1586.319946,531.8300171,7,5
,597.8494263,532.6699219,7,5
,1803.567017,532.6342163,8,5
,1648.737061,539.6195068,10,5
,1381.96106,546.9016724,7,5
,1762.105957,549.4281006,8,5
,723.5496216,556.1552124,7,5
,625.6489868,584.8330078,7,5
,111.8094025,590.1104126,7,5
,1463.930054,595.1343994,7,5
,682.8245239,599.8203735,7,5
,255.214798,623.1962891,7,5
,744.833313,636.7373047,8,5
,1697.357056,649.8048706,10,5
,694.8657837,658.4505005,7,5
,101.3779984,661.7401733,7,5
,1956.881958,663.8319092,7,5
,711.5819092,674.598999,7,5
,91.4397583,703.2067871,7,5
,818.9215698,724.8851929,8,5
,1529.563965,739.3118896,23,5
,869.0266724,770.1467285,7,5
,1582.338989,776.3502197,7,5
,1104.35498,781.270874,7,5
,1449.062988,784.6572876,10,5
,1454.895996,819.5059204,7,5
,705.7172241,820.8237915,7,5
,1795.505005,828.0385742,17,5
,1661.863037,828.6853027,10,5
,1512.984985,831.5236816,8,5
,694.2824097,834.1787109,7,5
,677.9970093,844.6383057,7,5
,1508.009033,851.0061035,8,5
,1766.099976,853.2587891,10,5
,1482.161987,863.4960938,17,5
,1615.843018,874.7575073,10,5
,988.8717041,883.90271,7,5
,1536.484009,895.0126953,24,5
,888.744812,910.4517212,10,5
,1724.064941,922.0325928,17,5
,1407.776978,925.4793091,10,5
,1739.369995,929.3859863,8,5
,643.8408203,947.5924072,7,5
,1638.796997,948.2341919,10,5
,1823.189941,961.0415039,10,5
,1561.063965,961.6918945,10,5
,1261.874023,971.9473877,7,5
,634.6055908,972.1306152,7,5
,1574.019043,973.6524048,10,5
,55.64310837,979.0635986,7,5
,1195.131958,980.631897,10,5
,1418.401001,983.2659302,10,5
,998.5100098,1001.539978,10,5
,1574.714966,1000.338989,8,5
,1422.31604,1001.685974,10,5
,1549.453003,1010.728027,8,5
,591.3577271,1029.744995,7,5
,1309.376953,1034.958984,24,5
,1276.600952,1038.845947,10,5
,574.4793091,1054.902954,7,5
,1383.68103,1055.402954,17,5
,1460.880005,1055.890991,8,5
,1429.046997,1056.953003,17,5
,1155.639038,1087.490967,13,5
,1147.942993,1104.128052,10,5
,650.3884277,1125.156982,7,5
,625.5128174,1180.287964,7,5
,1067.956055,1189.350952,23,5
,559.545105,1198.735962,7,5
,1103.449951,1220.964966,7,5
,998.9974976,1234.553955,24,5
,1101.250977,1240.535034,7,5
,1050.276001,1268.166016,7,5
,316.6477051,1277.0,7,5
,1017.322998,1304.487061,10,5
,193.5706024,1307.718018,7,5
,951.432373,1315.803955,7,5
,916.0161133,1318.80603,7,5
,312.2094116,1320.140015,7,5
,929.338501,1322.730957,10,5
,1002.864014,1339.838013,7,5
,628.8696289,1352.717041,7,5
,1018.372986,1355.626953,7,5
,80.15133667,1373.72998,10,5
,403.0134888,1385.948975,19,5
,918.6013794,1391.016968,10,5
,782.5303955,1417.833984,10,5
,820.1246948,1433.519043,10,5
,769.432373,1443.787964,19,5
,790.8314819,1445.009033,17,5
,747.980896,1447.645996,10,5
,756.1638184,1467.206055,7,5
,680.3994751,1483.870972,7,5
,176.771698,1515.696045,10,5
,161.8894958,1519.147949,10,5
,2037.037964,1528.975952,13,5
,749.6489868,1571.988037,7,5
,766.6486206,1575.44104,7,5
,729.7055054,1596.088013,7,5
,1927.80896,1609.957031,19,5
,1977.766968,1618.206055,23,5
,730.6531982,1623.262939,7,5
,1953.561035,1624.130981,8,5
,2000.21106,1630.172974,7,5
,1964.390991,1643.357056,23,5
,259.6044922,1678.503052,7,5
,184.0104065,1687.723022,7,5
,1897.218994,1693.572998,10,5
,333.9638977,1696.692993,17,5
,614.5247803,1697.593018,7,5
,248.9111023,1699.010986,7,5
,670.8469849,1704.578979,7,5
,673.0844727,1718.718018,8,5
,213.1994019,1728.360962,7,5
,658.6447144,1728.859009,17,5
,304.2641907,1742.859985,7,5
,223.0,1765.232056,7,5
,241.7411957,1886.720947,8,5
,212.8298035,1911.44397,7,5
,182.5260925,2034.009033,7,5
,581.3024292,28.31428909,19,5
,1918.520996,28.5247097,8,5
,1959.713013,28.18700981,7,5
,561.9647217,32.77177811,17,5
,422.5285034,40.83890152,7,5
,1842.677002,41.74599838,8,5
,1900.077026,44.1121788,8,5
,537.2750854,48.12751007,1,5
,384.2868042,49.81618118,1,5
,762.520874,54.85063934,25,5
,1756.057007,55.7028389,3,5
,1886.374023,69.50366974,8,5
,1797.511963,71.06285095,1,5
,388.767395,77.37159729,1,5
,883.9199829,94.84799957,3,5
,672.6762695,101.8183975,1,5
,828.9957886,106.2024994,25,5
,879.897583,118.9180984,17,5
,418.9742126,127.7474976,17,5
,1923.031982,130.4172974,1,5
,1986.692017,138.1226959,10,5
,161.6119995,139.0502014,7,5
,666.5336914,143.9783936,1,5
,1920.293945,147.9313965,10,5
,2038.723022,153.8426056,17,5
,1874.45105,154.2346039,1,5
,142.7781982,165.3988037,1,5
,1873.116943,170.4414063,1,5
,178.4550934,189.0699005,17,5
,709.0957031,198.4530945,23,5
,1677.86499,199.2478027,3,5
,13.50975037,205.6125031,17,5
,649.6395264,204.396698,1,5
,1908.800049,211.0717926,19,5
,33.12987137,222.3312073,17,5
,1883.437988,227.5652008,19,5
,291.2999878,231.2454987,1,5
,180.236496,236.4801025,17,5
,1875.946045,246.1493988,19,5
,1895.203979,243.8088074,1,5
,708.9818726,252.0950012,7,5
,1874.828979,265.8109131,19,5
,1731.442017,276.0282898,17,5
,1113.014038,280.611908,3,5
,1798.949951,282.0979919,8,5
,1768.640991,285.2842102,1,5
,361.7927856,285.0100098,1,5
,422.3821106,288.178894,1,5
,793.2667236,298.1733093,1,5
,1756.921997,304.0852966,9,5
,1927.328003,308.4049988,17,5
,1592.307983,314.0472107,3,5
,832.730896,318.2973022,9,5
,185.3162994,320.0917969,7,5
,335.3544006,323.7267151,1,5
,230.0180054,329.6990051,1,5
,306.4093933,331.1455994,7,5
,1795.86499,340.1803894,8,5
,640.1016235,341.7691956,19,5
,495.7952881,347.7018127,19,5
,376.0219116,347.8360901,1,5
,1734.030029,351.5834961,1,5
,73.24585724,354.8507996,1,5
,385.1224976,355.2107849,1,5
,95.29012299,369.9526978,17,5
,479.2286072,372.4464111,1,5
,625.8895264,373.7992859,1,5
,310.6944885,376.9309082,7,5
,205.5166016,378.8674927,1,5
,1678.598022,378.9397888,9,5
,316.2654114,400.7124939,1,5
,575.8270874,399.7286072,17,5
,1797.927979,414.6394958,19,5
,181.2312927,416.9627075,1,5
,249.1094055,415.346405,17,5
,399.9229126,424.1594849,1,5
,313.3288879,426.7887878,1,5
,1678.652954,426.5302124,1,5
,1878.279053,427.8265991,1,5
,13.87798977,428.6854858,3,5
,1699.161987,428.4645996,17,5
,194.7467957,433.5823059,9,5
,1650.026001,435.8814087,1,5
,1573.624023,437.9476013,17,5
,343.8456116,439.8970947,7,5
,263.5202942,447.2294006,17,5
,1617.676025,447.836792,1,5
,636.838501,457.5837097,10,5
,499.8161011,470.7533875,1,5
,1486.060059,480.9733887,8,5
,1312.896973,485.7676086,3,5
,129.7339935,486.4335022,1,5
,634.4282227,486.7980957,1,5
,1974.118042,492.8666992,1,5
,146.5325928,495.3551025,19,5
,723.1209106,496.0385132,1,5
,1771.475952,494.7764893,1,5
,1755.238037,499.0932922,7,5
,2041.13501,498.4401855,1,5
,210.7949982,503.1242065,7,5
,465.0849915,503.7992859,1,5
,1664.228027,504.8497925,19,5
,192.383194,507.0570984,7,5
,645.449707,509.98349,1,5
,1360.030029,517.0789185,25,5
,1752.577026,518.3881226,1,5
,474.9487,521.6635132,17,5
,1995.180054,523.0200195,1,5
,716.0488281,533.6069946,7,5
,1087.655029,538.2675781,25,5
,1982.151001,546.3853149,1,5
,1875.878052,547.9663696,10,5
,653.930603,564.069397,1,5
,1636.000977,566.2581177,22,5
,657.6220093,574.7637939,1,5
,869.6223145,581.0518799,3,5
,479.9655151,592.0466919,3,5
,603.0020142,599.8048096,17,5
,870.1115723,610.6931763,25,5
,615.4136963,613.6743164,17,5
,1562.927979,615.0111084,1,5
,599.0985718,618.8944092,1,5
,2040.296021,622.4807129,1,5
,816.5557861,631.2937012,8,5
,608.0424805,630.9846191,1,5
,509.6140137,633.1842041,25,5
,1714.712036,634.3599243,1,5
,271.1538086,635.3322144,25,5
,1375.286011,644.1326904,1,5
,1713.369019,654.6705933,8,5
,209.9627075,667.1312256,3,5
,847.4963989,693.0070801,8,5
,863.3875122,703.6052246,1,5
,1624.844971,703.6364136,22,5
,1520.478027,703.7921143,1,5
,904.7890015,708.5780029,19,5
,716.5723267,725.0880737,17,5
,1819.042969,728.666687,1,5
,876.5593262,728.1795044,13,5
,148.0124969,754.8828125,1,5
,991.6762695,767.8781128,3,5
,676.7241211,773.5930176,17,5
,50.76721954,774.4050293,1,5
,903.006897,776.7971802,1,5
,1660.246948,800.8513184,1,5
,1623.062988,812.9790039,8,5
,676.772583,822.8214722,17,5
,992.5219116,832.2719116,1,5
,1053.909058,840.2199097,1,5
,1630.260986,846.2246094,9,5
,1786.639038,845.902771,1,5
,858.9893799,850.0557251,19,5
,1744.852051,861.689209,17,5
,1707.25,865.3098755,1,5
,1692.687012,876.8483276,17,5
,1997.916992,880.197876,3,5
,543.4221802,882.2271729,25,5
,684.7459717,882.8015747,1,5
,1795.657959,891.3074951,1,5
,1402.689941,895.5648804,9,5
,2012.769043,898.8416138,3,5
,1419.090942,899.2727051,1,5
,686.2717285,902.2872925,1,5
,1644.41394,905.3928833,1,5
,1593.686035,925.6594238,1,5
,1872.477051,929.6079712,3,5
,1635.258057,929.7442017,24,5
,697.1931763,949.2869263,1,5
,1433.209961,955.243103,1,5
